Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
9.08 ADP	rush_yd	546.4	-	-	-	o525.5 -130/+100	-	-	567.3	-
	rush_td	3.9	-	-	-	-	-	-	3.9	-
	rec	17.9	-	-	-	-	-	-	17.9	-
	rec_yd	131.2	-	-	-	-	-	-	131.2	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Jaleel Mclaughlin
101.1 FPTS	rush_att	97.5	-	-	-	-	-	-	97.5	-
14.10 ADP	rush_yd	470.4	-	-	-	-	-	-	470.4	-
	rush_td	2.6	-	-	-	-	-	-	2.6	-
	rec	28.3	-	-	-	-	-	-	28.3	-
	rec_yd	183.1	-	-	-	-	-	-	183.1	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

Marshawn Lloyd
87.03 FPTS	rush_att	102.2	-	-	-	-	-	-	102.2	-
13.01 ADP	rush_yd	405.5	-	-	-	-	-	-	405.5	-
	rush_td	3.2	-	-	-	-	-	-	3.2	-
	rec	16.4	-	-	-	-	-	-	16.4	-
	rec_yd	130.8	-	-	-	-	-	-	130.8	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

Kendre Miller
82.31 FPTS	rush_att	83.8	-	-	-	-	-	-	83.8	-
14.12 ADP	rush_yd	342.8	-	-	-	-	-	-	342.8	-
	rush_td	2.4	-	-	-	-	-	-	2.4	-
	rec	21.3	-	-	-	-	-	-	21.3	-
	rec_yd	169.8	-	-	-	-	-	-	169.8	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

Ray Davis
80.31 FPTS	rush_att	88.0	-	-	-	-	-	-	88.0	-
17.06 ADP	rush_yd	380.1	-	-	-	-	-	-	380.1	-
	rush_td	2.9	-	-	-	-	-	-	2.9	-
	rec	16.1	-	-	-	-	-	-	16.1	-
	rec_yd	132.5	-	-	-	-	-	-	132.5	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Bucky Irving
75.52 FPTS	rush_att	96.6	-	-	-	-	-	-	96.6	-
17.10 ADP	rush_yd	368.1	-	-	-	-	-	-	368.1	-
	rush_td	2.5	-	-	-	-	-	-	2.5	-
	rec	14.8	-	-	-	-	-	-	14.8	-
	rec_yd	121.1	-	-	-	-	-	-	121.1	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Braelon Allen
75.36 FPTS	rush_att	99.8	-	-	-	-	-	-	99.8	-
18.03 ADP	rush_yd	396.7	-	-	-	-	-	-	396.7	-
	rush_td	2.9	-	-	-	-	-	-	2.9	-
	rec	11.0	-	-	-	-	-	-	11.0	-
	rec_yd	85.9	-	-	-	-	-	-	85.9	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Clyde Edwards Helaire
75.29 FPTS	rush_att	76.0	-	-	-	-	-	-	76.0	-
19.04 ADP	rush_yd	297.9	-	-	-	-	-	-	297.9	-
