EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-41.7	-	950 DK	10%	KC @ TB		away_total	o 8.5	'+900	-	'+950/-1800	'+850/-2500	-	-	750/-2000	0%	0%		0	0
-41.8	-	425 MGM	19%	ARI @ NYM		f5_total	u 1.5	-	-	-	-700/+425	-	-	-	0%	0%		0	0
-42.0	-	950 DK	10%	COL @ SF	Jung Hoo Lee	sb	o 0.5	'+850	-	'+950/-2000	-	-	750/-2500	-	0%	0%		27th	25th
-42.2	-	1000 DK	9%	STL @ CIN	Willson Contreras	sb	o 0.5	'+750	-	'+1000/-2500	-	-	-	-	0%	0%		22nd	17th
-42.2	-	1300 FD	7%	MIN @ CLE	Angel Martinez	tb	o 4.5	'+1300	-	-	-	-	-	-	0%	0%	3,2,0,3,1,0,1,1,2,1,1,2,1,1,0,0,1	9th	18th
-42.2	-	1300 FD	7%	MIL @ CHW	Brice Turang	tb	o 4.5	'+1300	-	-	-	-	-	-	0%	0%	1,1,1,1,3,1,1,1,1,2,1,2,0,3,1,2,1,1,0,1,1,2,0,4,3,1,0,0,1,1	17th	26th
-42.2	-	1300 FD	7%	KC @ TB	Michael Massey	tb	o 4.5	'+1300	-	-	-	-	-	-	0%	0%	1,1,0,2,0,2,1,0,1,1,2,0,1,1,0,0,0,0,3,1,0,0,1,1,0,2,0,0	15th	12th
-42.2	-	1300 FD	7%	BOS @ TOR	Ceddanne Rafaela	tb	o 4.5	'+1300	-	-	-	-	-	-	0%	0%	0,0,0,1,0,1,1,0,3,0,2,0,0,2,1,1,0,1,1,0,0,2,1,1,2,0,0	25th	22nd
-42.2	-	1300 FD	7%	ARI @ NYM	Brandon Nimmo	tb	o 4.5	'+1300	-	-	-	-	-	-	0%	0%	1,2,0,1,2,1,1,0,1,0,1,0,1,1,2,1,0,1,0,1,1,1,1,0,2,0,1,4,0	24th	28th
-42.3	-	583 DK	15%	DET @ LAA		spread	o -5.5	-	-	'+583/-1120	-	-	-	486/-1208	0%	0%		0	0
-42.5	-	900 DK	10%	MIN @ CLE	Gabriel Arias	sb	o 0.5	-	-	'+900/-1800	-	-	-	-	0%	0%		13th	8th
-42.7	-	1400 DK	7%	MIL @ CHW	William Contreras	sb	o 0.5	'+750	-	'+1400/-3500	-	-	-	-	0%	0%		7th	24th
-42.9	-	1200 DK	8%	BOS @ TOR	Andres Gimenez	hr	o 0.5	'+1060	-	'+1200	'+1150/-2500	-	950/-3335	700	10%	0%	1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8th	19th
