NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Josh Lowe	RF	L	7	TB	@	WSH	15th	5.0	Williams	R		1b	0.5	2,1,2	100%	0.47	39%	0	0%	'+125	-170
Brandon Belt	1B	L	6	TOR	@	KC	30th	2.0	Singer	R		1b	0.5	0,0,1	33%	0.46	36%	2	0%	'+120	-165
Brandon Drury	2B	R	6	LAA	@	SEA	28th	3.5	Kirby	R		1b	0.5	3,0,0	33%	0.54	46%	0	0%	'+120	-160
Elias Diaz	C	R	7	COL	@	LAD	23rd	4.25	Grove	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	1,0,1,0,1	60%	0.49	44%	14	50%	'+130	-175
Jurickson Profar	LF	S	1	COL	@	LAD	23rd	4.25	Grove	R		1b	0.5	0,0	0%	0.57	43%	19	37%	'+125	-165
Will Smith	C	R	3	LAD	v	COL	12th	5.5	Feltner	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,0,1,3	50%	0.58	47%	15	40%	'+100	-130
Matt Carpenter	1B	L	6	SD	v	ARI	24th	4.0	Nelson	R		1b	0.5	1,2,0,0	50%	0.32	26%	0	0%	'+195	-270
Michael A Taylor	CF		-	MIN	@	MIA	21st	4.5	Cueto	R		1b	0.5	0,1,0,1	50%	0.67	50%	0	0%	'+120	-155
Adley Rutschman	C	S	2	BAL	@	TEX	3rd	8.33	Gray	R	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO	1b	0.5	1,0,1,4	75%	0.46	39%	6	50%	'+130	-175
Jorge Soler	LF	R	2	MIA	v	MIN	4th	7.33	Mahle	R	.250 1-4, 0 HR, 0 RBI, 1 BB, 2 SO	1b	0.5	1,1,0,1,1	80%	0.42	35%	0	0%	'+130	-175
Kyle Farmer	3B		-	MIN	@	MIA	21st	4.5	Cueto	R	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	1b	0.5	0,0,0,1	25%	0.65	47%	6	33%	-115	-115
Oneil Cruz	SS	L	1	PIT	@	BOS	4th	7.33	Crawford	R		1b	0.5	1,1,2,0	75%	0.49	38%	2	50%	'+105	-140
Matt Chapman	3B	R	7	TOR	@	KC	30th	2.0	Singer	R	.600 3-5, 0 HR, 1 RBI, 0 BB, 0 SO	1b	0.5	2,3,0,3	75%	0.44	40%	7	57%	'+125	-170
Josh Jung	3B	R	5	TEX	v	BAL	4th	7.33	Bradish	R		1b	0.5	1,0,1,0	50%	0.38	38%	0	0%	-110	-120
Cody Bellinger	CF	L	4	CHC	@	CIN	24th	4.0	Overton	R		1b	0.5	0,0,0,0	0%	0.4	28%	7	43%	'+115	-155
Ian Happ	LF	S	3	CHC	@	CIN	24th	4.0	Overton	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	1,0,1,1	75%	0.59	46%	19	32%	-115	-115
Brandon Lowe	2B	L	1	TB	@	WSH	15th	5.0	Williams	R		1b	0.5	0,1,1,0	50%	0.49	38%	0	0%	'+105	-145
Daulton Varsho	LF	L	4	TOR	@	KC	30th	2.0	Singer	R	.333 1-3, 1 HR, 1 RBI, 0 BB, 2 SO	1b	0.5	0,2,0,1	50%	0.48	41%	4	0%	-125	-110
Alan Trejo	SS	R	9	COL	@	LAD	23rd	4.25	Grove	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	2,0,0	33%	0.65	47%	2	50%	'+155	-215
Byron Buxton	CF	R	3	MIN	@	MIA	21st	4.5	Cueto	R	.375 3-8, 1 HR, 2 RBI, 1 BB, 1 SO	1b	0.5	0,2,2,2	75%	0.35	30%	0	0%	'+135	-180
Nick Fortes	C	R	-	MIA	v	MIN	4th	7.33	Mahle	R		1b	0.5	0,1,1	67%	0.48	38%	0	0%	'+135	-180
Tom Murphy	C	R	7	SEA	v	LAA	8th	6.67	Detmers	L		1b	0.5	0,0	0%	0.54	46%	0	0%	'+195	-270
Trent Grisham	CF	L	1	SD	v	ARI	24th	4.0	Nelson	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	1,0,1,0,1	60%	0.33	27%	16	38%	'+180	-250
Will Benson	CF	L	-	CIN	v	CHC	15th	5.0	Smyly	L		1b	0.5	0,0	0%	0.35	35%	0	0%	'+170	-230
Jake Cave	LF	L	-	PHI	@	NYY	14th	5.33	Cortes	L	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,0	0%	0.37	33%	4	50%	'+140	-190
Adam Duvall	CF	R	5	BOS	v	PIT	18th	4.67	Oviedo	R		1b	0.5	2,3,2,1	100%	0.39	33%	4	25%	'+155	-210
Brad Miller	1B	L	8	TEX	v	BAL	4th	7.33	Bradish	R		1b	0.5	0,1,0	33%	0.46	37%	2	50%	'+130	-175
Jonah Heim	C	S	7	TEX	v	BAL	4th	7.33	Bradish	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	1b	0.5	0,0,2	33%	0.44	38%	5	40%	'+120	-160
Jake Lamb	LF	L	5	LAA	@	SEA	28th	3.5	Kirby	R		1b	0.5	2,1	100%	0.27	27%	0	0%	'+210	-290
Corbin Carroll	CF	L	6	ARI	@	SD	27th	3.75	Weathers	L		1b	0.5	2,1,0,2,0	60%	0.38	34%	6	50%	'+140	-185
Trevor Larnach	LF	L	4	MIN	@	MIA	21st	4.5	Cueto	R		1b	0.5	1,3,0,2	75%	0.37	29%	0	0%	'+115	-155
Jake Fraley	LF	L	-	CIN	v	CHC	15th	5.0	Smyly	L		1b	0.5	1,0,2	67%	0.51	37%	12	58%	'+110	-145
Darick Hall	1B	L	7	PHI	@	NYY	14th	5.33	Cortes	L		1b	0.5	1,0,2,0	50%	0.39	34%	0	0%	'+140	-190
